document_id,pdf_path,ocr_json_path,label,is_synthetic,hard_case_tags,split,notes
basvuru_belgesi__001,C:\kdata\başvuru belgesi\001.webp,,basvuru_belgesi,0,,,
basvuru_belgesi__044521,C:\kdata\başvuru belgesi\044521.webp,,basvuru_belgesi,0,,,
basvuru_belgesi__1 (2),C:\kdata\başvuru belgesi\1 (2).webp,,basvuru_belgesi,0,,,
basvuru_belgesi__1 (3),C:\kdata\başvuru belgesi\1 (3).webp,,basvuru_belgesi,0,,,
basvuru_belgesi__1,C:\kdata\başvuru belgesi\1.webp,,basvuru_belgesi,0,,,
basvuru_belgesi__17 Ağu 2026 11_38_48,C:\kdata\başvuru belgesi\17 Ağu 2026 11_38_48.png,,basvuru_belgesi,0,,,
basvuru_belgesi__37544289-5018-4c8f-8e8a-3ce96ff68ead,C:\kdata\başvuru belgesi\37544289-5018-4c8f-8e8a-3ce96ff68ead.png,,basvuru_belgesi,0,,,
basvuru_belgesi__3faee60c-7cb7-4b43-a624-ebea27778b6f,C:\kdata\başvuru belgesi\3faee60c-7cb7-4b43-a624-ebea27778b6f.png,,basvuru_belgesi,0,,,
basvuru_belgesi__4,C:\kdata\başvuru belgesi\4.webp,,basvuru_belgesi,0,,,
basvuru_belgesi__50d80df6-3cc3-4122-b3cb-63a77d166ecb,C:\kdata\başvuru belgesi\50d80df6-3cc3-4122-b3cb-63a77d166ecb.png,,basvuru_belgesi,0,,,
basvuru_belgesi__5701c7be-5a52-48d0-bdac-c85fafd3150f,C:\kdata\başvuru belgesi\5701c7be-5a52-48d0-bdac-c85fafd3150f.png,,basvuru_belgesi,0,,,
basvuru_belgesi__5873d567-0a6d-45cb-b1f2-ecceb9a9713d,C:\kdata\başvuru belgesi\5873d567-0a6d-45cb-b1f2-ecceb9a9713d.png,,basvuru_belgesi,0,,,
basvuru_belgesi__65677260,C:\kdata\başvuru belgesi\65677260.jpg,,basvuru_belgesi,0,,,
basvuru_belgesi__6e3253bd-b199-4aa1-8978-80f5c12c6d47,C:\kdata\başvuru belgesi\6e3253bd-b199-4aa1-8978-80f5c12c6d47.png,,basvuru_belgesi,0,,,
basvuru_belgesi__7f8d0e8d-ecf6-4fe9-9330-7bfb966512ab,C:\kdata\başvuru belgesi\7f8d0e8d-ecf6-4fe9-9330-7bfb966512ab.png,,basvuru_belgesi,0,,,
basvuru_belgesi__a13ee53b-902c-4465-8f0e-aaa6d1f8fe1b,C:\kdata\başvuru belgesi\a13ee53b-902c-4465-8f0e-aaa6d1f8fe1b.png,,basvuru_belgesi,0,,,
basvuru_belgesi__aaaaaeddf,C:\kdata\başvuru belgesi\aaaaaeddf.jpg,,basvuru_belgesi,0,,,
basvuru_belgesi__basvuru-formu-gercek,C:\kdata\başvuru belgesi\basvuru-formu-gercek.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__basvuru-formu-tuzel,C:\kdata\başvuru belgesi\basvuru-formu-tuzel.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__BASVURU_003,C:\kdata\başvuru belgesi\BASVURU_003.png,,basvuru_belgesi,0,,,
basvuru_belgesi__BASVURU_004,C:\kdata\başvuru belgesi\BASVURU_004.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__BASVURU_005_PAGE_01,C:\kdata\başvuru belgesi\BASVURU_005_PAGE_01.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__BASVURU_006,C:\kdata\başvuru belgesi\BASVURU_006.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__dokuman_20260408143147_bb874a,C:\kdata\başvuru belgesi\dokuman_20260408143147_bb874a.pdf,,basvuru_belgesi,0,,,
basvuru_belgesi__e126ce74-3383-4233-91cb-9faeb3f72735,C:\kdata\başvuru belgesi\e126ce74-3383-4233-91cb-9faeb3f72735.png,,basvuru_belgesi,0,,,
basvuru_belgesi__EO.FR_.50-Af-Basvuru-Dilekcesi_00,C:\kdata\başvuru belgesi\EO.FR_.50-Af-Basvuru-Dilekcesi_00.pdf,,basvuru_belgesi,0,,,
